               date            open            high             low     close        MA5       MA10   prev_MA5  prev_MA10  golden_cross  dead_cross      slowk      slowd  stoch_position     prev_k     prev_d  stochastic_golden_cross  stochastic_dead_cross        MACD  signal_macd          MA20         std         upper         lower   band_width         rsi        pdi        mdi        ADX    buy   sell  position_long  position_short
173   1683579060000  27504.19000000  27547.93000000  27504.18000000  27545.34  27525.610  27509.729  27523.568  27503.196         False       False  91.544642  91.840217              -1  90.776739  93.370078                    False                  False   25.479766    14.118435  27494.280000   36.597423  27567.474847  27421.085153   146.389694   70.175190  25.987688  20.562774  15.744073  False  False          False           False
174   1683579240000  27545.34000000  27550.13000000  27530.96000000  27538.95  27528.442  27516.465  27525.610  27509.729         False       False  92.151001  91.490794              -1  91.544642  91.840217                     True                  False   26.778847    16.650518  27503.270000   29.979403  27563.228805  27443.311195   119.917611   64.873096  25.538684  19.926533  15.501199  False  False          False           False
175   1683579420000  27538.94000000  27550.88000000  27534.90000000  27534.91  27528.244  27522.342  27528.442  27516.465         False       False  91.925543  91.873729              -1  92.151001  91.490794                    False                  False   27.169194    18.754253  27509.279286   26.924778  27563.128842  27455.429729   107.699113   49.894978  24.975319  19.388000  15.293574  False  False          False           False
176   1683579600000  27534.92000000  27540.77000000  27496.22000000  27496.22  27523.922  27523.119  27528.244  27522.342         False       False  72.060976  85.379173               0  91.925543  91.873729                    False                   True   24.079019    19.819206  27510.527143   25.781591  27562.090324  27458.963961   103.126363   39.266662  23.100906  24.449099  14.403699  False  False          False           False
177   1683579780000  27496.22000000  27511.86000000  27470.39000000  27470.39  27517.162  27520.365  27523.922  27523.119         False        True  44.478515  69.488344               0  72.060976  85.379173                    False                  False   19.323024    19.719970  27509.840000   26.766885  27563.373769  27456.306231   107.067538   27.839794  21.484499  27.096605  14.200009  False  False          False           False
178   1683579960000  27470.39000000  27470.40000000  27421.07000000  27438.73  27495.840  27510.725  27517.162  27520.365         False       False  20.757593  45.765695               0  44.478515  69.488344                    False                  False   12.851028    18.346181  27507.492857   31.415946  27570.324750  27444.660964   125.663785   25.495663  19.717131  33.092152  14.994796  False  False          False           False
179   1683580140000  27438.72000000  27449.72000000  27422.84000000  27449.71  27477.992  27503.217  27495.840  27510.725         False       False  14.998330  26.744813               1  20.757593  45.765695                    False                  False    8.509822    16.378909  27505.605000   34.122475  27573.849950  27437.360050   136.489899   32.839864  18.809156  31.568257  15.732812  False  False          False           False
180   1683580320000  27449.72000000  27458.37000000  27425.90000000  27425.91  27456.192  27492.218  27477.992  27503.217         False       False  13.132013  16.295979               1  14.998330  26.744813                    False                  False    3.113040    13.725735  27501.137857   40.109549  27581.356954  27420.918760   160.438195    7.765754  19.251752  29.784024  16.143236  False  False          False           False
181   1683580500000  27425.91000000  27452.91000000  27425.90000000  27452.20  27447.388  27485.655  27456.192  27492.218         False       False  16.590915  14.907086               1  13.132013  16.295979                     True                  False    0.946523    11.169893  27497.871429   42.198557  27582.268542  27413.474315   168.794227   23.107446  18.323967  28.348666  16.524345  False  False          False           False
182   1683580680000  27452.21000000  27455.66000000  27448.14000000  27448.14  27442.938  27480.050  27447.388  27485.655         False       False  16.187762  15.303563               1  16.590915  14.907086                    False                  False   -1.085552     8.718804  27491.657857   42.691948  27577.041753  27406.273961   170.767792   23.104581  18.583847  27.944875  16.781092  False  False          False           False
183   1683580860000  27448.14000000  27503.46000000  27439.37000000  27487.12  27452.616  27474.228  27442.938  27480.050         False       False  31.905606  21.561427               0  16.187762  15.303563                    False                  False    0.444253     7.063894  27488.967143   41.616681  27572.200505  27405.733781   166.466724   47.184406  25.058261  24.713970  15.631852  False  False          False           False
184   1683581040000  27487.12000000  27492.00000000  27481.53000000  27484.45  27459.564  27468.778  27452.616  27474.228         False       False  40.186940  29.426769               0  31.905606  21.561427                    False                  False    1.424765     5.936068  27485.292143   39.364137  27564.020416  27406.563869   157.456547   55.078012  24.558722  24.221296  14.564701  False  False          False           False
185   1683581220000  27484.45000000  27490.62000000  27467.02000000  27490.62  27472.506  27464.349  27459.564  27468.778          True       False  51.095190  41.062579               0  40.186940  29.426769                    False                  False    2.668929     5.282640  27483.348571   38.291140  27559.930851  27406.766292   153.164558   72.970341  23.425147  25.941214  13.888417  False  False          False           False
186   1683581400000  27490.61000000  27509.45000000  27490.61000000  27501.15  27482.296  27464.842  27472.506  27464.349         False       False  54.697892  48.660007               0  51.095190  41.062579                    False                  False    4.453286     5.116769  27483.131429   38.172295  27559.476019  27406.786839   152.689180   72.862222  26.345816  24.951094  13.090595  False  False          False           False
